ar,n,r,se,rate,xfrac,logmed,logeng
1429,11,0.40051879592450523,0.11299716848595569,2.5722637219876585,0.18181818181818182,-4.536853863273651,-1.059134571629291
1476,10,0.524379677733506,0.13882677710926936,0.8683068017366136,0.0,-4.6977773336823345,-1.8532674750364886
1513,8,0.474570665627752,0.14537127442664022,0.857334226389819,0.0,-4.664241306629607,-2.104902191125412
1515,31,0.5161099018870062,0.05564022757133462,4.027063599458728,0.0,-4.7151182853445475,-1.915294600197869
1548,6,0.16973853645540396,0.17328242544715122,6.442953020134228,0.0,-4.628009088535085,-1.9720798635941972
1944,8,0.4966890952417988,0.13687225564571795,0.677726791387222,0.25,-4.718966632752273,-1.46115774261095
1967,10,0.1317490411778256,0.12133119769990283,1.575492341356674,0.0,-4.38933983691012,-1.5892767405529713
1968,7,0.3561970475984101,0.17381870852221892,0.7187678265830005,0.0,-4.913640169325252,-1.9276240402733427
1974,10,0.4377001228532835,0.10274705114958961,2.819107282693814,0.0,-4.722734690543155,-1.874837659306631
2087,12,0.4712893559075126,0.106371422315134,3.573940020682523,0.25,-4.414482872272876,-1.515132152324005
2192,20,0.47906779085070755,0.07714865529108308,1.6872693186478411,0.3,-4.633483656152465,-1.0133294636602705
2205,10,0.33209874743448353,0.11032437003253645,1.7424975798644724,0.1,-4.413581495414028,-1.5063844325447375
2242,11,0.3849711156478322,0.10348528139483743,1.4016458720467215,0.18181818181818182,-4.746177561291927,-1.4675479145656536
2297,14,0.4330259224016461,0.08795518355392962,1.6715031921067904,0.07142857142857142,-4.593119329950875,-1.6070218134574592
2403,10,0.5246399421319441,0.10048554782540639,1.2990527740189444,0.0,-4.594995334949631,-1.8426157714486895
2422,23,0.3840503789693195,0.06746265547409287,4.335078534031414,0.0,-4.804377056413063,-2.052773053037497
